Subscriber Number,Zone,Meter type,Apr.23,Mai.23,Jun.23,Jul.23,Aug.23,Sep.23,Okt.23,Nov.23,Dez.23,Jan.24,Feb.24,Mär.24,Apr.24
54302,1135,Polish,0,0,0,50,0,0,0,0,0,0,50,50,55
54436,1135,Polish,5,5,5,5,5,5,0,0,0,0,0,0,0
54438,1035,Polish,20,24,24,20,20,20,10,10,10,10,30,20,15
54528,1134,Polish,10,10,10,10,0,0,0,0,0,0,0,0,0
54548,1035,Polish,0,0,0,0,0,15,10,14,10,10,10,10,5
54633,1134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
54659,1035,Polish,1,1,1,1,1,1,10,12,15,5,5,5,0
54772,1035,Polish,10,12,12,10,15,20,10,14,10,10,10,10,5
54782,1034,Polish,24,24,24,24,25,25,25,25,25,15,20,20,10
54830,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
54898,1035,Polish,10,10,10,10,12,10,10,14,10,10,30,30,30
54908,1135,Polish,5,5,5,15,10,10,15,5,5,5,5,5,6
54934,1135,Polish,30,30,30,30,30,30,30,30,30,20,20,30,30
54955,1046,Polish,10,11,11,10,10,10,10,15,15,15,15,15,10
54957,1135,Polish,0,0,0,0,0,0,30,0,0,0,30,30,30
55014,1035,Polish,20,15,15,27,18,20,10,12,10,30,15,15,5
55059,1035,Polish,20,24,24,27,28,30,10,13,10,10,10,15,5
55207,1034,Polish,20,22,22,22,22,22,20,20,20,20,20,20,10
55218,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
55264,1035,Polish,15,20,20,10,5,12,10,13,10,10,10,10,5
55300,1034,Polish,20,20,20,20,20,20,20,20,20,15,15,15,10
55383,1035,Polish,10,8,8,7,8,8,10,0,10,10,10,16,5
55414,1035,Polish,15,15,15,25,27,20,10,20,0,20,20,20,20
55515,1035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,22
55516,1035,Polish,12,15,15,10,10,10,10,12,10,10,10,10,5
55539,1135,Polish,60,60,60,18,45,66,65,75,60,60,60,60,60
55640,1135,Polish,0,0,0,0,0,0,0,0,0,0,5,5,6
55733,1135,Polish,0,50,50,30,0,20,50,57,32,0,51,60,50
55879,1035,Polish,0,0,0,0,0,0,10,11,20,10,0,20,0
55880,1035,Polish,20,12,12,25,18,15,10,12,20,10,0,5,1
55992,1035,Polish,0,0,0,0,0,0,10,10,1,9,9,1,0
56098,1135,Polish,30,30,30,30,30,30,30,30,30,25,25,25,25
56140,1134,Polish,10,10,10,10,10,5,5,5,5,5,5,5,5
56152,1046,Polish,20,15,15,15,15,20,20,15,15,15,15,15,15
56162,1046,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
56242,1035,Polish,3,4,4,4,4,5,10,12,10,10,0,1,0
56248,1035,Polish,12,8,8,15,10,12,10,12,10,10,10,10,5
56262,1046,Polish,15,10,10,10,15,15,15,5,15,5,5,0,0
56327,1035,Polish,12,15,15,15,15,15,10,27,10,10,10,10,5
56342,1135,Polish,30,30,30,30,30,30,30,0,5,30,5,5,25
56361,1134,Polish,10,10,10,10,0,0,0,10,10,10,10,10,10
56381,1046,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
56413,1034,Polish,30,30,30,30,30,30,30,30,30,30,30,30,20
56446,1035,Polish,12,15,15,10,10,8,10,12,10,10,10,10,5
56573,1134,Polish,14,10,10,10,10,10,10,10,10,10,10,10,10
56596,1134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
56649,1134,Polish,15,10,10,10,10,10,10,15,15,20,20,20,20
56651,1134,Polish,20,10,10,20,20,20,20,20,20,20,20,20,20
56730,1236,Polish,20,20,20,15,15,15,0,0,0,0,0,0,0
56757,1035,Polish,0,0,0,0,0,0,10,10,10,10,10,15,5
56782,1034,Polish,30,30,30,5,5,5,5,5,5,5,5,5,10
56855,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
56878,1034,Polish,30,30,30,30,30,30,25,25,20,20,20,20,10
57081,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
57263,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,30,20
57300,1035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
57348,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
57356,1035,Polish,0,0,0,0,0,0,10,12,10,10,10,10,5
57445,1234,Polish,25,25,25,25,25,25,25,25,25,25,25,25,20
57449,1035,Polish,10,10,10,10,10,10,10,13,1,0,10,10,1
57492,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
57809,1035,Polish,30,30,30,100,28,30,10,15,10,10,10,10,5
57813,1046,Polish,11,5,5,3,5,5,5,10,10,10,0,1,4
57854,1046,Polish,20,15,15,20,20,20,20,20,20,20,20,20,15
57886,1134,Polish,10,10,10,5,5,5,5,10,10,10,10,10,10
57992,1035,Polish,15,20,20,12,10,9,10,13,10,10,10,5,0
58194,1034,Polish,1,1,1,1,1,1,1,1,1,10,10,10,10
58263,1135,Polish,30,30,30,30,30,30,30,30,20,20,30,30,30
58277,1035,Polish,8,8,8,1,3,2,10,10,10,10,10,10,5
58312,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,10
58314,1046,factories,0,0,0,0,0,0,0,0,0,0,0,0,0
58332,1135,Polish,30,30,30,30,30,0,0,0,0,0,30,20,30
58333,1134,Polish,8,10,10,10,10,10,10,15,15,15,15,15,15
58351,1135,Polish,1260,20,20,11,14,15,20,20,20,30,25,25,25
58375,1134,Polish,3,10,10,10,10,10,10,10,10,10,10,10,10
58394,1134,Polish,15,10,10,15,15,15,15,15,30,30,30,30,30
58412,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
58416,1234,Polish,25,25,25,25,25,25,25,25,25,25,25,25,20
58472,1135,Polish,75,75,75,75,75,75,75,75,75,75,75,75,80
58476,1135,Polish,13,17,17,10,17,23,18,20,19,22,19,26,19
58478,1046,Polish,20,15,15,25,30,30,20,20,30,30,15,15,40
58492,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
58497,1134,Polish,20,10,10,10,10,10,10,10,0,0,0,0,0
58499,1035,Polish,20,15,15,27,20,27,10,0,10,10,15,15,5
58532,1135,factories,50,40,40,50,50,50,40,35,30,30,12,24,18
58539,1135,Polish,50,40,40,40,40,40,50,50,40,40,40,40,45
58543,1035,Polish,20,15,15,10,12,10,10,12,10,10,30,30,5
58546,1135,Polish,20,20,20,5,5,5,5,5,7,8,10,5,6
58590,1135,Polish,5,5,5,0,0,0,0,0,40,5,5,5,6
58594,1135,Polish,8,15,15,7,21,26,75,58,58,57,43,38,37
58632,1135,Polish,50,50,50,50,50,50,0,0,0,50,50,50,60
58684,1035,Polish,12,12,12,20,18,20,20,20,20,20,20,20,20
58689,1135,Polish,77,68,68,12,50,90,90,90,90,90,90,90,90
58710,1046,Polish,60,60,60,60,60,60,60,60,60,60,50,60,60
58732,1135,Polish,30,30,30,0,30,40,0,0,0,0,0,30,30
58733,1135,Polish,20,20,20,20,20,20,40,40,40,40,40,40,40
58753,1135,factories,20,20,20,20,25,30,30,0,5,5,30,30,30
58775,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
58776,1134,Polish,13,10,10,10,10,10,10,15,15,15,15,15,15
58779,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
58862,1035,Polish,30,25,25,25,28,12,10,13,20,10,10,10,5
59073,1135,Polish,30,30,30,30,30,30,30,30,30,25,25,25,25
59076,1035,Polish,30,50,50,30,30,40,10,10,20,10,30,30,30
59112,1135,Polish,0,0,0,0,0,0,0,0,5,5,5,5,6
59113,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
59116,1035,Polish,13,15,15,15,15,15,10,0,10,3,3,7,5
59151,1135,factories,50,5,5,5,0,35,25,25,5,35,20,40,40
59207,1134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
59232,1035,Polish,28,28,28,35,40,12,10,13,10,10,42,14,5
59233,1134,Polish,20,10,10,10,10,10,10,10,10,10,10,10,10
59265,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
59294,1035,Polish,15,15,15,12,10,12,10,11,20,10,30,20,0
59390,1135,factories,80,60,60,80,80,80,80,60,70,70,60,70,75
59456,1234,Polish,15,15,15,15,15,15,15,15,15,15,15,15,15
59480,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
59501,1046,Polish,15,11,11,10,15,10,13,15,15,15,10,10,10
59600,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
59602,1035,Polish,4,8,8,8,4,5,10,15,10,10,10,15,5
59697,1135,Polish,5,5,5,5,5,5,5,5,5,0,5,5,6
59880,1035,Polish,13,12,12,13,10,12,10,13,10,10,15,25,5
59889,1035,Polish,0,0,0,0,0,0,10,14,20,30,30,30,5
59913,1035,Polish,10,10,10,12,10,10,10,0,10,10,10,14,5
59945,1135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
60021,1035,Polish,8,10,10,10,7,10,10,12,10,10,10,10,15
60’071,1’135,Polish,50,50,50,50,0,50,50,30,30,20,40,40,45
60079,1035,Polish,10,15,15,12,10,12,10,0,15,5,5,5,10
60080,1035,Polish,10,8,8,8,10,12,10,0,10,10,10,15,4
60081,1035,Polish,4,5,5,12,5,10,10,10,10,10,10,10,5
60147,1135,Polish,,,,,,,,,,,,,
60250,1035,Polish,25,25,25,25,25,35,10,11,10,10,10,10,5
60271,1034,Polish,13,13,13,13,13,14,11,11,11,13,15,15,15
60339,1134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
60393,1134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
60410,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
60478,1134,Polish,10,10,10,15,15,15,15,20,20,20,20,20,20
60501,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
60520,1234,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
60534,1134,Polish,22,10,10,10,10,10,10,20,20,20,20,20,20
60552,1046,Polish,25,15,15,20,15,20,20,20,20,20,15,15,20
60683,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
60741,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
60799,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
60801,1234,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
60808,1234,Polish,1,1,1,1,1,1,1,1,1,1,1,1,1
60846,1046,Polish,10,4,4,6,5,25,0,10,10,10,10,10,10
60848,1135,Polish,5,5,5,0,5,8,16,19,20,22,22,16,17
60856,1135,Polish,10,15,15,21,28,13,25,27,26,5,5,5,6
60860,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
61009,1135,Polish,0,30,30,0,30,30,0,0,0,0,25,25,30
61143,1035,Polish,18,10,10,18,15,20,10,10,10,10,30,30,5
61390,1035,Polish,25,25,25,30,25,25,10,23,10,10,10,10,5
61392,1234,Polish,15,15,15,15,15,15,15,15,15,15,15,15,15
61398,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
61531,1134,Polish,10,10,10,10,10,10,20,20,20,20,20,20,20
61615,1135,Polish,25,25,25,25,30,20,25,20,20,20,20,20,20
61653,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
61654,1135,Polish,,,,,,,,,,,,,
61701,1046,Polish,50,30,30,20,40,40,50,50,40,50,40,40,25
61848,1046,Polish,20,15,15,20,20,15,20,20,20,20,20,20,15
61994,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
62148,1134,Polish,10,10,10,10,10,10,10,15,15,10,10,10,10
62151,1046,Polish,25,20,20,25,20,25,25,25,20,20,20,20,15
62250,1035,Polish,50,50,50,25,50,50,10,13,15,30,30,15,5
62425,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,0
62444,1234,Polish,20,20,20,20,20,20,20,20,20,20,20,20,15
62534,1035,Polish,20,23,23,20,20,20,10,12,10,10,10,10,20
62604,1134,Polish,30,10,10,30,30,30,30,30,30,30,30,20,20
62896,1135,Polish,30,30,30,30,30,30,30,0,5,0,25,30,30
62951,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
62960,1135,Polish,,,,,,,,,,,,,
62976,1035,Polish,23,25,25,25,25,25,10,12,10,10,10,10,10
62987,1135,Polish,100,100,100,100,100,100,100,100,100,100,80,80,90
63029,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
63130,1135,Polish,60,60,60,60,60,60,60,60,60,60,60,40,45
63171,1134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
63233,1034,Polish,5,5,5,5,4,4,1,1,1,3,5,5,5
63281,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,10
63353,1236,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
63368,1034,Polish,30,30,30,30,30,30,30,30,30,30,30,30,10
63394,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
63460,1134,Polish,20,10,10,10,10,10,10,10,10,10,10,10,10
63461,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
63486,1135,without a meter,30,30,30,30,30,30,30,30,30,30,30,30,30
63497,1035,Polish,20,20,20,15,25,20,10,12,0,0,10,10,0
63513,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
63515,1133,Polish,20,20,20,20,20,20,20,25,25,25,10,10,5
63518,1035,Polish,20,15,15,12,20,15,10,14,10,10,10,15,5
63527,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
63572,1135,Polish,100,100,100,100,100,100,100,100,100,100,100,100,110
63592,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
63629,1134,Polish,15,10,10,15,15,0,10,15,15,15,15,15,15
63631,1135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
63687,1046,Polish,20,15,15,20,20,20,20,20,20,20,20,20,15
63724,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
63767,1134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
63785,1046,Polish,20,15,15,15,15,15,15,15,15,15,15,15,15
63925,1046,Polish,20,15,15,15,15,15,15,20,15,15,15,15,15
63989,1135,Polish,0,5,5,5,5,5,0,0,0,25,5,15,15
64165,1035,Polish,20,20,20,28,20,28,10,10,10,10,10,10,5
64289,1134,Polish,5,10,10,10,10,10,10,10,10,10,10,10,10
64308,1135,Polish,30,30,30,30,30,30,30,30,15,15,25,25,30
64405,1035,Polish,8,8,8,10,12,20,10,11,10,10,10,10,5
64407,1035,Polish,8,8,8,10,12,20,10,12,10,10,10,10,5
64452,1134,Polish,3,10,10,10,10,10,10,10,10,10,10,10,10
64488,1035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
64706,1046,Polish,20,10,10,15,10,15,15,20,20,20,20,20,15
64710,1135,Polish,30,30,30,30,30,30,30,30,30,5,25,30,30
64711,1135,Polish,30,30,30,30,30,30,30,0,30,5,25,30,30
64719,1035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
64740,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
64783,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
64847,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
64869,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
64870,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
64871,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
64970,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
65315,1135,Polish,50,50,50,50,50,50,50,50,20,40,40,40,40
65363,1234,Polish,1,1,1,1,1,1,1,1,1,1,1,1,1
65484,1134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
65493,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
65588,1135,Polish,40,40,40,60,60,40,50,50,20,20,30,60,30
65828,1046,Polish,15,15,15,20,20,20,15,15,15,15,25,25,15
65890,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
65919,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,10,10
65938,1134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
65945,1046,Polish,10,10,10,10,10,10,15,15,15,15,5,5,10
65946,1046,Polish,10,10,10,10,15,10,20,10,10,10,10,10,10
65951,1135,Polish,70,75,75,0,0,0,0,0,0,0,60,60,60
65965,1135,Polish,50,50,50,50,50,50,50,50,50,50,40,60,60
66139,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
66165,1234,Polish,25,25,25,25,25,25,30,30,30,30,30,30,20
66210,1035,Polish,27,27,27,27,27,28,10,14,10,10,10,15,5
66280,1135,Polish,30,30,30,30,30,30,30,0,30,5,5,30,30
66358,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
66466,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
66467,1046,Polish,2,5,5,0,0,10,5,0,0,0,0,0,0
66519,1134,Polish,13,10,10,10,30,30,30,30,30,30,30,30,30
67007,1135,Polish,20,20,20,30,30,30,30,30,5,5,30,30,30
67008,1135,Polish,0,30,30,30,30,30,30,30,5,5,30,30,30
67202,1035,Polish,4,20,20,5,5,10,10,10,20,10,30,30,5
67537,1035,Polish,10,10,10,10,10,10,10,27,10,10,10,15,5
67561,1035,Polish,30,25,25,35,70,20,10,10,10,10,10,15,5
67570,1234,Polish,10,12,12,12,12,20,20,20,20,20,20,20,15
67571,1035,Polish,20,25,25,20,20,20,10,11,10,10,25,25,5
67575,1035,Polish,0,0,0,0,0,0,10,0,10,10,10,15,1
67694,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
67730,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
67733,1135,Polish,15,19,19,12,5,15,15,15,20,20,20,20,20
67747,1046,Polish,15,10,10,10,10,10,10,10,10,10,5,5,10
67784,1035,Polish,18,20,20,15,20,15,10,12,10,10,10,10,20
67785,1135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
67787,1046,Polish,15,15,15,15,15,15,15,15,15,15,0,1,10
67788,1135,Polish,20,20,20,20,20,20,20,20,20,20,25,25,30
67808,1034,Polish,20,20,20,20,20,20,20,20,20,25,25,25,10
67852,1135,Polish,0,100,100,0,0,0,0,0,0,0,100,100,120
67958,1035,Polish,28,28,28,28,30,30,10,11,10,10,10,10,0
67970,1035,Kart meter,,,,,,,,,,,,,
67971,1035,Kart meter,,,,,,,,,,,,,
67973,1035,Kart meter,,,,,,,,,,,,,
67977,1035,Kart meter,,,,,,,,,,,,,
67978,1035,Kart meter,,,,,,,,,,,,,
67979,1035,Kart meter,,,,,,,,,,,,,
68008,1035,Polish,20,20,20,20,20,20,10,28,10,10,10,25,20
68037,1035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
68084,1135,Polish,30,30,30,30,30,30,30,30,30,10,30,30,30
68194,1035,Polish,28,28,28,30,30,30,10,11,10,10,30,30,20
68267,1135,Polish,10,5,5,5,16,14,5,5,5,5,5,0,20
68288,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,19
68381,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
68402,1135,Polish,30,30,30,30,30,30,30,30,25,25,30,30,30
68426,1135,Polish,30,30,30,30,30,30,30,30,30,30,25,25,25
68431,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
68438,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
68442,1035,Polish,1,1,1,1,1,2,10,0,10,10,10,13,5
68446,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
68453,1135,Polish,20,20,20,30,5,5,5,5,5,5,5,5,6
68481,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
68510,1135,Polish,0,0,0,0,0,0,30,30,20,20,30,30,40
68511,1135,Polish,50,50,50,50,50,50,50,50,50,50,20,30,30
68517,1135,Polish,50,50,50,50,50,50,20,20,20,40,20,20,40
68558,1035,Polish,28,27,27,30,30,32,10,10,15,10,30,20,5
68566,1135,Polish,5,5,5,5,5,5,5,0,5,5,5,5,6
68590,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
68608,1135,Polish,15,15,15,15,5,15,20,15,15,15,15,20,20
68645,1135,Polish,30,30,30,30,30,30,30,30,20,20,25,25,30
68672,1135,Polish,15,5,5,5,5,5,15,5,5,5,10,10,6
68684,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,10
68692,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
68696,1135,Polish,15,14,14,12,40,40,30,20,30,30,30,30,30
68737,1135,Polish,0,0,0,5,0,0,5,5,5,5,5,5,6
68739,1135,Polish,0,0,0,30,0,30,30,0,30,0,30,30,30
68758,1135,Polish,50,50,50,50,50,50,0,0,50,0,40,40,50
68800,1135,Polish,5,5,5,5,0,0,0,0,25,15,15,15,20
68959,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,20
68996,1135,Polish,30,30,30,30,30,30,30,0,15,15,20,20,30
69019,1135,Polish,0,0,0,0,0,284,0,0,55,25,55,30,20
69087,1135,Polish,15,15,15,5,5,15,0,0,5,5,5,5,10
69106,1135,Polish,30,30,30,30,30,30,30,0,5,5,5,5,30
69109,1135,Polish,50,0,0,50,40,40,40,40,40,40,40,40,45
69147,1135,Polish,20,6,6,18,20,20,20,20,20,20,20,20,20
69153,1135,Polish,30,5,5,10,5,5,5,5,5,25,5,25,25
69174,1135,Polish,,,,,,,,,,,,,
69176,1046,Polish,15,15,15,20,15,15,15,15,15,15,15,15,15
69249,1135,Polish,0,0,0,0,0,0,0,0,0,0,50,50,60
69268,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
69278,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
69328,1035,Polish,12,15,15,15,24,28,10,13,10,10,5,5,10
69332,1135,Polish,30,30,30,30,30,30,0,0,5,5,5,5,6
69530,1135,Polish,20,20,20,20,20,20,20,30,5,0,25,30,30
69540,1135,Polish,15,5,5,5,5,5,25,20,15,15,15,15,10
69541,1135,Polish,50,40,40,50,60,60,40,50,55,55,50,50,60
69562,1135,Polish,0,20,20,15,15,0,0,0,0,0,0,0,0
69616,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
69622,1135,Polish,30,0,0,0,0,0,0,0,0,0,0,0,0
69667,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
69669,1135,Polish,23,20,20,26,30,30,30,30,30,4,30,30,30
69683,1134,Polish,10,10,10,15,15,15,15,15,15,15,15,15,15
69684,1035,Polish,10,12,12,10,8,10,10,13,10,10,10,0,0
69688,1035,Polish,20,20,20,20,20,20,20,30,20,10,10,20,20
69691,1135,Polish,14,15,15,13,20,27,26,19,19,19,17,11,19
69700,1135,Polish,30,30,30,30,30,30,30,0,10,30,30,30,30
69741,1034,Polish,1,1,1,1,1,1,1,1,1,10,10,10,5
69834,1034,Polish,20,20,20,20,20,20,20,20,20,20,10,10,13
69847,1135,Polish,30,30,30,30,30,30,30,30,30,30,25,25,20
69864,1135,Polish,0,0,0,0,0,0,0,0,0,0,28,20,30
69871,1135,Polish,15,15,15,5,5,15,15,5,5,0,5,10,15
69890,1134,Polish,16,10,10,10,10,0,15,15,15,25,25,25,25
69943,1135,Polish,13,18,18,2,5,11,30,19,15,14,16,5,5
69944,1134,Polish,10,10,10,10,0,5,5,10,10,10,10,10,10
69957,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
70045,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
70187,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,2,2
70231,1135,Polish,0,0,0,0,0,20,20,0,20,20,0,20,20
70242,1135,Polish,30,30,30,30,30,30,30,30,30,30,25,25,30
70247,1135,Polish,20,20,20,20,20,20,20,20,15,15,20,20,20
70276,1035,Polish,5,10,10,8,10,10,10,13,10,10,10,10,10
70285,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
70297,1135,Polish,30,30,30,30,30,30,30,30,5,5,30,30,30
70327,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
70335,1135,Polish,0,0,0,50,0,0,0,0,0,0,25,25,30
70367,1135,Polish,15,10,10,10,10,10,10,10,10,10,5,5,10
70372,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
70423,1035,Polish,8,1,1,1,0,0,10,14,20,10,10,10,5
70480,1135,Polish,30,30,30,30,30,30,30,30,20,20,30,25,25
70532,1135,Polish,10,15,15,25,28,23,19,13,10,10,7,9,11
70538,1035,Polish,10,10,10,8,8,10,10,13,10,10,5,5,1
70547,1135,Polish,40,5,5,10,12,19,44,25,15,22,18,20,20
70813,1234,Polish,1,1,1,1,1,1,1,1,1,1,1,10,10
70817,1035,Polish,10,9,9,12,12,10,10,11,10,10,10,20,5
70843,1135,Polish,30,20,20,30,30,30,30,30,30,25,25,30,30
70848,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
70849,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
70853,1135,Polish,30,30,30,30,30,30,30,30,20,20,20,30,30
70864,1035,Polish,10,20,20,10,10,20,10,14,15,10,10,10,5
70917,1135,Polish,30,30,30,30,30,30,0,0,30,5,5,30,30
70999,1135,Polish,40,40,40,40,40,40,40,40,35,35,30,35,25
71075,1134,Polish,19,10,10,10,10,10,10,15,15,15,15,15,15
71115,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
71276,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
71323,1035,Polish,10,10,10,10,15,15,10,12,10,10,10,5,5
71516,1234,Polish,20,20,20,20,20,20,20,20,20,20,20,20,15
71693,1135,Polish,5,0,0,20,0,0,0,20,20,20,20,20,20
71709,1135,Polish,30,0,0,30,0,30,30,0,5,25,30,30,30
71718,1142,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
71725,1135,Polish,30,30,30,30,30,30,30,0,30,5,25,30,30
71741,1135,Polish,0,30,30,30,0,20,0,20,0,20,0,20,20
71790,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
71849,1035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
71899,1035,Polish,15,27,27,20,20,25,10,12,20,10,10,10,5
71934,1135,Polish,60,60,60,80,0,50,50,0,0,90,60,50,60
71943,1234,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
71944,1234,Polish,10,10,10,10,10,10,10,30,30,30,30,1,1
72036,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
72075,1135,Polish,30,0,0,30,30,30,30,0,30,0,25,25,0
72083,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
72084,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
72124,1234,Polish,5,5,5,5,5,5,5,5,5,5,5,5,5
72158,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
72185,1135,factories,0,28,28,0,0,0,0,0,0,0,22,30,30
72222,1035,Polish,10,8,8,10,15,10,10,13,10,10,10,10,5
72384,1135,Polish,0,0,0,0,0,30,30,0,5,5,30,30,30
72483,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
72682,1035,Polish,10,10,10,10,10,10,10,12,10,10,10,15,5
72756,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
72911,1035,Polish,12,12,12,12,18,12,10,13,10,10,30,30,20
73005,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
73006,1135,Polish,50,50,50,50,0,50,0,50,5,45,50,50,60
73007,1134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
73008,1234,Polish,25,25,25,25,25,25,25,25,25,25,25,25,20
